                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     33,                 1.6613,                 1.1056,                 1.5984,                0.67994,                0.51526,                0.56806,                0.21372,                 2.1936,                 1.5804,                 2.1718,              0.0011272,              0.0011272,              0.0011272
                     34,                 1.6835,                 1.1346,                 1.6119,                0.71021,                0.60957,                0.62859,                0.24376,                 2.1331,                 1.5048,                 2.0776,              0.0011178,              0.0011178,              0.0011178
                     35,                 1.6717,                  1.092,                  1.595,                0.72212,                0.56048,                0.60401,                0.25473,                 2.1572,                 1.5915,                 2.0867,              0.0011083,              0.0011083,              0.0011083
                     36,                 1.6558,                 1.1113,                 1.5979,                0.67586,                0.58856,                 0.6216,                0.24197,                 2.1645,                 1.5573,                 2.1602,              0.0010989,              0.0010989,              0.0010989
                     37,                  1.661,                 1.0634,                 1.5779,                0.63067,                0.60132,                  0.575,                0.22323,                 2.1746,                 1.4961,                 2.1343,              0.0010895,              0.0010895,              0.0010895
                     38,                 1.6345,                 1.0672,                 1.5672,                0.68625,                0.58339,                0.60482,                0.24906,                 2.1621,                 1.5414,                 2.1221,                0.00108,                0.00108,                0.00108
                     39,                 1.6345,                 1.0594,                 1.5604,                0.60505,                0.59577,                0.54863,                 0.2143,                 2.2078,                 1.5457,                 2.1264,              0.0010706,              0.0010706,              0.0010706
                     40,                 1.6237,                 1.0322,                 1.5481,                0.67109,                0.55225,                0.58414,                0.24151,                 2.1996,                 1.4185,                 2.1457,              0.0010612,              0.0010612,              0.0010612
                     41,                 1.5885,                0.99646,                 1.5127,                0.64621,                0.58565,                0.62701,                0.26457,                 2.1395,                 1.4837,                 2.0985,              0.0010517,              0.0010517,              0.0010517
                     42,                 1.5763,                0.97264,                 1.5208,                0.59859,                0.64373,                0.58755,                0.22804,                 2.2193,                 1.5187,                 2.1631,              0.0010423,              0.0010423,              0.0010423
